id_parameter,cd_parameter,cd_configuration,cd_algorithm,ds_algorithm,cd_function,ds_function,id_device,ds_device,cd_dataset,cd_resource,nr_iterations,ds_tp_parameter,vl_dataset_row_size,vl_dataset_column_size,vl_grid_row_size,vl_grid_column_size,vl_block_row_size,vl_block_column_size,ds_status_parallelism,vl_block_size_percent_dataset,ds_resource,nr_nodes,nr_computing_units_cpu,nr_computing_units_gpu,vl_memory_per_cpu_computing_unit,vl_memory_per_gpu_computing_unit,ds_dataset,vl_dataset_memory_size,ds_data_type,vl_data_type_memory_size,vl_dataset_size,vl_dataset_row_size,vl_dataset_column_size,nr_random_state
33,17,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,5,1,5,VAR_BLOCK_CAPACITY_SIZE,2500000,1,2,2500000,1250000,1,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_1,10000000,FLOAT32,4,2500000,2500000,1,170
34,17,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,5,1,5,VAR_BLOCK_CAPACITY_SIZE,2500000,1,2,2500000,1250000,1,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_1,10000000,FLOAT32,4,2500000,2500000,1,170
35,18,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,6,1,5,VAR_BLOCK_CAPACITY_SIZE,250000,10,2,50000,125000,5,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_2,10000000,FLOAT32,4,2500000,250000,10,170
36,18,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,6,1,5,VAR_BLOCK_CAPACITY_SIZE,250000,10,2,50000,125000,5,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_2,10000000,FLOAT32,4,2500000,250000,10,170
37,19,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,7,1,5,VAR_BLOCK_CAPACITY_SIZE,25000,100,2,500,12500,50,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_3,10000000,FLOAT32,4,2500000,25000,100,170
38,19,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,7,1,5,VAR_BLOCK_CAPACITY_SIZE,25000,100,2,500,12500,50,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_3,10000000,FLOAT32,4,2500000,25000,100,170
39,20,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,8,1,5,VAR_BLOCK_CAPACITY_SIZE,1581,1581,2,2,791,791,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_4,10000000,FLOAT32,4,2499561,1581,1581,170
40,20,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,8,1,5,VAR_BLOCK_CAPACITY_SIZE,1581,1581,2,2,791,791,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_4,10000000,FLOAT32,4,2499561,1581,1581,170
41,21,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,9,1,5,VAR_BLOCK_CAPACITY_SIZE,2500000000,1,2,2500000000,1250000000,1,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_1,10000000000,FLOAT32,4,2500000000,2500000000,1,170
42,21,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,9,1,5,VAR_BLOCK_CAPACITY_SIZE,2500000000,1,2,2500000000,1250000000,1,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_1,10000000000,FLOAT32,4,2500000000,2500000000,1,170
43,22,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,10,1,5,VAR_BLOCK_CAPACITY_SIZE,250000000,10,2,50000000,125000000,5,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_2,10000000000,FLOAT32,4,2500000000,250000000,10,170
44,22,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,10,1,5,VAR_BLOCK_CAPACITY_SIZE,250000000,10,2,50000000,125000000,5,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_2,10000000000,FLOAT32,4,2500000000,250000000,10,170
45,23,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,11,1,5,VAR_BLOCK_CAPACITY_SIZE,25000000,100,2,500000,12500000,50,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_3,10000000000,FLOAT32,4,2500000000,25000000,100,170
46,23,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,11,1,5,VAR_BLOCK_CAPACITY_SIZE,25000000,100,2,500000,12500000,50,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_3,10000000000,FLOAT32,4,2500000000,25000000,100,170
47,24,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,12,1,5,VAR_BLOCK_CAPACITY_SIZE,50000,50000,2,2,25000,25000,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_4,10000000000,FLOAT32,4,2500000000,50000,50000,170
48,24,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,12,1,5,VAR_BLOCK_CAPACITY_SIZE,50000,50000,2,2,25000,25000,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_4,10000000000,FLOAT32,4,2500000000,50000,50000,170
49,25,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,1,1,5,VAR_BLOCK_CAPACITY_SIZE,2500,1,2,2500,1875,1,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_1,10000,FLOAT32,4,2500,2500,1,170
50,25,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,1,1,5,VAR_BLOCK_CAPACITY_SIZE,2500,1,2,2500,1875,1,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_1,10000,FLOAT32,4,2500,2500,1,170
51,26,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,2,1,5,VAR_BLOCK_CAPACITY_SIZE,250,10,2,32,188,8,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_2,10000,FLOAT32,4,2500,250,10,170
52,26,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,2,1,5,VAR_BLOCK_CAPACITY_SIZE,250,10,2,32,188,8,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_2,10000,FLOAT32,4,2500,250,10,170
53,27,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,3,1,5,VAR_BLOCK_CAPACITY_SIZE,25,100,2,1,19,75,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_3,10000,FLOAT32,4,2500,25,100,170
54,27,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,3,1,5,VAR_BLOCK_CAPACITY_SIZE,25,100,2,1,19,75,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_3,10000,FLOAT32,4,2500,25,100,170
55,28,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,4,1,5,VAR_BLOCK_CAPACITY_SIZE,50,50,2,2,38,38,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_4,10000,FLOAT32,4,2500,50,50,170
56,28,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,4,1,5,VAR_BLOCK_CAPACITY_SIZE,50,50,2,2,38,38,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_4,10000,FLOAT32,4,2500,50,50,170
57,29,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,5,1,5,VAR_BLOCK_CAPACITY_SIZE,2500000,1,2,2500000,1875000,1,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_1,10000000,FLOAT32,4,2500000,2500000,1,170
58,29,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,5,1,5,VAR_BLOCK_CAPACITY_SIZE,2500000,1,2,2500000,1875000,1,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_1,10000000,FLOAT32,4,2500000,2500000,1,170
